"inventory_key","product_key","supplier_key","location_key","date_received_key","last_order_date_key","expiration_date_key","stock_quantity","reorder_level","sales_volume","inventory_turnover_rate","reorder_quantity","unit_price","status"
1,485,300,64,20240922,20240512,20240709,28,24,82,5,97,2.50,Discontinued
2,85,20,345,20250122,20250112,20240526,58,12,71,30,99,3.00,Active
3,809,345,879,20240406,20240709,20240912,78,38,54,42,27,15.00,Active
4,231,662,221,20240406,20240501,20241117,67,88,66,42,32,1.50,Discontinued
5,750,333,72,20240911,20250110,20241203,75,10,90,42,68,3.00,Active
6,933,422,82,20240513,20240812,20240827,60,61,96,50,2,6.00,Active
7,165,49,467,20240611,20241207,20240430,30,48,22,78,52,10.00,Active
8,70,257,237,20240617,20250119,20250204,37,94,94,66,76,15.00,Backordered
9,679,607,413,20240513,20240629,20240306,47,2,48,36,76,2.50,Discontinued
10,92,910,818,20241011,20241023,20241230,19,80,33,38,87,2.30,Backordered
11,356,105,713,20240311,20240630,20240614,54,26,63,97,16,6.00,Active
12,898,598,533,20250203,20240316,20240901,12,60,20,35,73,4.00,Discontinued
13,438,973,724,20240907,20240310,20241103,26,70,36,10,52,2.00,Discontinued
14,185,145,178,20240923,20241130,20241127,49,17,45,96,54,4.00,Discontinued
15,788,293,626,20240814,20240710,20241230,98,20,51,23,81,4.75,Backordered
16,51,742,480,20240523,20240713,20240501,31,87,41,10,19,8.00,Active
17,114,880,138,20240418,20241019,20241218,27,92,29,32,56,6.50,Discontinued
18,636,265,20,20240428,20240329,20240805,36,82,27,67,85,7.10,Discontinued
19,9,189,616,20240602,20241219,20240908,50,14,60,72,6,9.20,Backordered
20,601,828,748,20241231,20240423,20240412,39,83,73,88,21,2.00,Active
21,55,295,666,20240901,20240410,20241227,34,92,28,71,26,2.50,Active
22,373,520,679,20240504,20240325,20240303,59,82,30,34,69,2.45,Discontinued
23,180,424,49,20240728,20240427,20240314,90,92,71,13,56,2.50,Active
24,440,851,465,20240723,20240623,20241222,46,6,63,29,64,10.00,Discontinued
25,370,660,949,20240812,20241014,20241119,91,68,81,85,80,11.50,Backordered
26,280,152,394,20240405,20240225,20241219,92,3,62,20,81,5.00,Backordered
27,445,583,765,20240902,20240405,20240826,45,7,86,77,58,6.50,Discontinued
28,75,962,569,20241126,20240906,20240921,95,93,60,19,16,4.50,Active
29,536,538,24,20240401,20240519,20240611,51,87,24,83,86,2.00,Backordered
30,528,637,796,20250220,20241208,20241213,31,54,69,77,52,4.00,Active
31,102,292,84,20250210,20240405,20241202,26,1,82,8,9,6.00,Backordered
32,286,42,644,20241031,20240607,20240323,68,10,37,11,29,2.00,Discontinued
33,566,396,229,20250115,20240430,20240612,22,22,62,78,65,2.00,Backordered
34,879,977,958,20240513,20250219,20240715,85,15,46,24,16,6.50,Discontinued
35,853,807,476,20240622,20240619,20240928,99,96,94,89,39,10.00,Backordered
36,797,725,139,20241218,20240524,20250107,62,81,100,42,91,1.60,Discontinued
37,473,620,501,20241116,20240617,20250206,15,76,90,26,81,2.00,Backordered
38,861,665,849,20241204,20240722,20250223,47,67,36,48,57,4.00,Backordered
39,989,321,113,20250107,20240227,20240329,20,43,73,6,43,25.00,Active
40,603,259,158,20240524,20240811,20240517,49,89,37,48,65,3.00,Active
41,527,302,132,20241028,20241215,20240808,28,38,48,56,23,42.58,Backordered
42,753,634,989,20241203,20240526,20240905,55,33,34,62,14,1.75,Discontinued
43,675,941,388,20240923,20240904,20241220,53,98,55,51,25,10.00,Active
44,607,41,777,20240921,20241024,20250215,20,34,50,83,74,4.50,Discontinued
45,925,174,812,20240601,20240603,20240307,78,24,60,41,31,9.00,Active
46,452,769,795,20241126,20240910,20240803,70,96,100,15,21,2.00,Discontinued
47,666,591,110,20240404,20240819,20240627,68,25,25,83,16,3.50,Active
48,315,322,17,20240825,20240728,20250131,30,55,56,31,4,6.00,Active
49,374,185,701,20240727,20241002,20241222,77,54,64,73,10,2.50,Active
50,673,802,715,20250210,20250125,20250122,91,14,50,5,99,6.00,Backordered
51,796,36,34,20240625,20240306,20241229,98,43,86,62,9,4.50,Backordered
