"warehouse_key","warehouse_location"
1,"6808 Chinook Parkway"
2,"9 Victoria Point"
3,"8 Kensington Place"
4,"5 Waxwing Junction"
5,"58 La Follette Park"
6,"546 Declaration Place"
7,"5 Warner Court"
8,"7 Riverside Road"
9,"2 Basil Street"
10,"82737 Ryan Place"
11,"57150 Del Sol Alley"
12,"4033 Sloan Hill"
13,"60094 Goodland Junction"
14,"60 Towne Hill"
15,"85 Lunder Court"
16,"84336 Haas Place"
17,"05944 Scott Parkway"
18,"7 Roxbury Circle"
19,"98 Bartillon Trail"
20,"018 Oxford Crossing"
21,"113 Donald Court"
22,"149 Lawn Way"
23,"26266 Esker Point"
24,"03643 Oakridge Lane"
25,"26160 Independence Alley"
26,"329 Helena Park"
27,"16 Fair Oaks Pass"
28,"97 Utah Lane"
29,"72083 Acker Crossing"
30,"938 Hanover Point"
31,"553 Hooker Trail"
32,"06 Shopko Pass"
33,"24 South Trail"
34,"06584 Mendota Avenue"
35,"561 Pennsylvania Way"
36,"4627 Amoth Circle"
37,"1 Green Hill"
38,"49770 Hoffman Court"
39,"339 Crescent Oaks Plaza"
40,"992 East Point"
41,"4 Stang Place"
42,"80 Old Shore Plaza"
43,"6891 Mandrake Park"
44,"10577 Thierer Plaza"
45,"18 Daystar Parkway"
46,"109 Twin Pines Avenue"
47,"97 Sunnyside Court"
48,"5 Oxford Pass"
49,"022 Pierstorff Point"
50,"1468 Meadow Vale Court"
51,"1 Elmside Parkway"
52,"51205 Rieder Junction"
53,"6 Tony Junction"
54,"25923 Loeprich Junction"
55,"3104 Ridge Oak Hill"
56,"744 Lakewood Gardens Crossing"
57,"904 Del Mar Crossing"
58,"19180 Hagan Parkway"
59,"701 Logan Court"
60,"9559 Muir Trail"
61,"203 Mariners Cove Junction"
62,"739 Grayhawk Trail"
63,"9 Anhalt Trail"
64,"00029 Fisk Point"
65,"6982 Crownhardt Circle"
66,"62494 Longview Drive"
67,"93321 Kennedy Point"
68,"1 Pleasure Hill"
69,"81 Oneill Circle"
70,"86207 Tennyson Parkway"
71,"126 Spohn Plaza"
72,"0039 Shelley Place"
73,"92321 Nelson Trail"
74,"0 Larry Terrace"
75,"844 Schurz Point"
76,"7 Ridge Oak Pass"
77,"83291 Hansons Crossing"
78,"865 Eagle Crest Park"
79,"803 5th Alley"
80,"96 Brown Drive"
81,"44249 Sutteridge Crossing"
82,"005 Tomscot Hill"
83,"3645 Ridge Oak Drive"
84,"03 Little Fleur Pass"
85,"9269 Main Trail"
86,"56 Bonner Point"
87,"1223 Monument Drive"
88,"0920 Monica Pass"
89,"4784 Farmco Alley"
90,"993 Kensington Drive"
91,"75054 Ramsey Parkway"
92,"92655 Pond Park"
93,"6410 Northwestern Pass"
94,"13 Forest Run Place"
95,"8 Thackeray Drive"
96,"236 Gateway Lane"
97,"74 Sugar Plaza"
98,"54706 Prairieview Point"
99,"451 Grim Hill"
100,"8 Autumn Leaf Drive"
101,"587 Vermont Terrace"
102,"8 Dovetail Junction"
103,"44022 Barnett Way"
104,"69 Orin Plaza"
105,"70156 7th Junction"
106,"35 Golf Course Alley"
107,"545 Linden Alley"
108,"2 Scofield Street"
109,"28 Boyd Pass"
110,"0584 Lindbergh Alley"
111,"31 Loomis Park"
112,"96420 Briar Crest Lane"
113,"04 Mesta Parkway"
114,"2693 6th Court"
115,"16 Elgar Point"
116,"365 Vera Terrace"
117,"6748 Mitchell Road"
118,"5 Mesta Center"
119,"1247 Hoard Hill"
120,"4029 Lotheville Pass"
121,"5818 Twin Pines Place"
122,"3616 Carey Pass"
123,"336 Old Shore Lane"
124,"57598 Russell Center"
125,"868 Swallow Point"
126,"854 Kipling Point"
127,"34832 Autumn Leaf Terrace"
128,"35598 Fuller Terrace"
129,"21530 Prentice Place"
130,"07 Pankratz Point"
131,"2 Canary Street"
132,"0500 Calypso Pass"
133,"50880 Nobel Road"
134,"7020 Porter Trail"
135,"79 Ronald Regan Avenue"
136,"9821 Novick Hill"
137,"6 Rusk Pass"
138,"01471 Burrows Lane"
139,"04776 Saint Paul Park"
140,"6500 Raven Drive"
141,"1 Judy Street"
142,"453 Dryden Park"
143,"3 Del Mar Point"
144,"63464 Jana Court"
145,"697 Hoepker Center"
146,"2 Veith Crossing"
147,"11 Thackeray Hill"
148,"3 Lawn Park"
149,"2 Sunbrook Lane"
150,"87417 Forest Pass"
151,"710 Service Park"
152,"5 Transport Pass"
153,"38583 2nd Pass"
154,"43591 East Road"
155,"49884 Brickson Park Plaza"
156,"6738 Tennyson Road"
157,"79878 Katie Trail"
158,"04 Rockefeller Terrace"
159,"700 Northland Crossing"
160,"6 Acker Street"
161,"9623 Cottonwood Park"
162,"7 Hooker Way"
163,"16730 Luster Alley"
164,"30968 Anzinger Court"
165,"53 Caliangt Junction"
166,"95 Onsgard Way"
167,"1509 Hoard Circle"
168,"0 Village Green Street"
169,"5 Forster Point"
170,"2 Petterle Road"
171,"82 Hintze Court"
172,"66 Raven Pass"
173,"826 Melvin Pass"
174,"2004 Cody Plaza"
175,"4 Sundown Place"
176,"47817 Oneill Park"
177,"31208 Westerfield Way"
178,"0109 Stang Terrace"
179,"9 Cordelia Trail"
180,"74 Menomonie Point"
181,"92486 Laurel Alley"
182,"82 Drewry Junction"
183,"88678 Bayside Park"
184,"48788 Chinook Place"
185,"73397 Steensland Circle"
186,"5501 Fuller Way"
187,"582 Dahle Center"
188,"615 Mayer Drive"
189,"9951 Petterle Alley"
190,"1959 Marcy Center"
191,"89 Springs Alley"
192,"759 Waywood Court"
193,"65 Chinook Circle"
194,"60 Messerschmidt Pass"
195,"554 Eliot Point"
196,"703 Hermina Center"
197,"85953 Clyde Gallagher Drive"
198,"482 Green Center"
199,"805 Center Parkway"
200,"581 Oneill Crossing"
201,"8531 Manley Court"
202,"46 Delaware Place"
203,"8 Heffernan Point"
204,"1615 Bellgrove Crossing"
205,"54 Pawling Crossing"
206,"8 Russell Pass"
207,"374 Blue Bill Park Point"
208,"0 Lerdahl Parkway"
209,"6482 Ramsey Alley"
210,"4826 Drewry Center"
211,"955 4th Road"
212,"285 1st Park"
213,"8569 Bashford Court"
214,"5900 Vahlen Avenue"
215,"4346 Columbus Way"
216,"94862 Beilfuss Terrace"
217,"15068 Scoville Court"
218,"65721 Caliangt Crossing"
219,"29755 Daystar Street"
220,"094 Carberry Lane"
221,"00397 Bay Terrace"
222,"8 Merrick Lane"
223,"76928 Tennyson Parkway"
224,"924 La Follette Alley"
225,"4571 Fremont Way"
226,"4105 Fair Oaks Parkway"
227,"90865 Sherman Court"
228,"23560 Talmadge Center"
229,"03 Ryan Circle"
230,"0 Thackeray Point"
231,"931 Browning Center"
232,"96629 Nova Plaza"
233,"76 Independence Drive"
234,"76106 Anthes Junction"
235,"84575 Randy Point"
236,"38726 Gina Pass"
237,"00 6th Parkway"
238,"3 Buhler Place"
239,"44 Thompson Terrace"
240,"27 School Court"
241,"4374 Corry Terrace"
242,"1 Hudson Hill"
243,"97687 Mendota Terrace"
244,"4 Esch Point"
245,"87784 Blaine Way"
246,"9305 Warrior Way"
247,"48 Vahlen Place"
248,"38 Superior Road"
249,"6 John Wall Plaza"
250,"4 Bashford Court"
251,"99 Fair Oaks Circle"
252,"850 Glacier Hill Drive"
253,"5 Anderson Trail"
254,"7 Lunder Hill"
255,"9431 Clarendon Pass"
256,"22782 Oriole Way"
257,"32 6th Lane"
258,"553 Mayfield Crossing"
259,"1005 Lyons Junction"
260,"481 Mifflin Hill"
261,"467 Dexter Pass"
262,"938 Garrison Court"
263,"29817 Coleman Drive"
264,"996 Thierer Center"
265,"78919 East Crossing"
266,"38 Banding Lane"
267,"234 Eagle Crest Avenue"
268,"44662 American Plaza"
269,"9262 Sullivan Crossing"
270,"1715 Dottie Pass"
271,"239 Anderson Court"
272,"582 Sauthoff Crossing"
273,"19112 Little Fleur Road"
274,"6292 Chive Street"
275,"43024 Elka Avenue"
276,"667 Arkansas Circle"
277,"2835 Schlimgen Parkway"
278,"7744 Oxford Pass"
279,"5306 Arkansas Avenue"
280,"2 Russell Alley"
281,"43107 Schlimgen Circle"
282,"40 Cody Pass"
283,"93 Longview Junction"
284,"7242 Claremont Avenue"
285,"8626 Chinook Parkway"
286,"07359 Porter Park"
287,"83894 Delaware Plaza"
288,"3 Westerfield Crossing"
289,"31892 Pennsylvania Street"
290,"25 Nancy Place"
291,"736 Redwing Parkway"
292,"40113 Blaine Place"
293,"797 Mcbride Lane"
294,"30408 5th Way"
295,"339 Paget Place"
296,"685 Independence Junction"
297,"5649 Vidon Plaza"
298,"7 Talmadge Street"
299,"08896 Evergreen Avenue"
300,"1661 Springview Terrace"
301,"10997 Dexter Parkway"
302,"739 Swallow Road"
303,"2 7th Center"
304,"160 Kings Street"
305,"07 Maple Wood Drive"
306,"37 Browning Trail"
307,"739 Rowland Way"
308,"185 Stone Corner Parkway"
309,"31 Sullivan Hill"
310,"5 Linden Terrace"
311,"357 High Crossing Parkway"
312,"1 Westport Crossing"
313,"9 Holmberg Circle"
314,"46 Cardinal Way"
315,"3 Meadow Valley Court"
316,"8 Hazelcrest Street"
317,"22555 Macpherson Plaza"
318,"267 International Plaza"
319,"779 Ridgeway Street"
320,"509 Carpenter Trail"
321,"4 Heffernan Lane"
322,"16 Autumn Leaf Way"
323,"317 Anniversary Pass"
324,"10 Golf Course Hill"
325,"911 Ridgeway Way"
326,"52 Namekagon Junction"
327,"6 Orin Place"
328,"7 Schiller Court"
329,"21629 Burrows Pass"
330,"379 Duke Court"
331,"7698 Logan Drive"
332,"5 Loftsgordon Trail"
333,"95 Lerdahl Park"
334,"59 Veith Center"
335,"36 Bobwhite Parkway"
336,"524 Saint Paul Park"
337,"49646 Derek Lane"
338,"0 Saint Paul Center"
339,"1666 Dayton Terrace"
340,"35 Portage Road"
341,"9695 Alpine Trail"
342,"77 Brown Circle"
343,"3 Bashford Court"
344,"40643 Sullivan Lane"
345,"00064 Mosinee Circle"
346,"622 Anthes Lane"
347,"24045 Bluestem Point"
